   Field  Tile         RA        Dec Size
  SMC_c05  T02  14.748181 -72.051876 0.67
  SMC_c05  T03  14.825126 -71.502403 0.67
  SMC_c05  T04  14.897782   -70.9529 0.67
  SMC_c05  T05  16.505775 -72.618096 0.67
  SMC_c05  T06  16.533038 -72.068158 0.67
  SMC_c05  T07  16.558731 -71.518217 0.67
  SMC_c05  T08  16.582989 -70.968272 0.67
  SMC_c05  T09  18.346725 -72.618096 0.67
  SMC_c05  T10  18.319462 -72.068158 0.67
  SMC_c05  T11  18.293769 -71.518217 0.67
  SMC_c05  T12  18.269511 -70.968272 0.67
  SMC_c05  T13  20.185959 -72.601318 0.67
  SMC_c05  T14  20.104319 -72.051876 0.67
  SMC_c05  T15  20.027374 -71.502403 0.67
  SMC_c05  T16  19.954718   -70.9529 0.67
  SMC_c06  T01   8.969458 -74.101818 0.67 
  SMC_c06  T02   9.051098 -73.552376 0.67 
  SMC_c06  T03   9.128043 -73.002903 0.67 
  SMC_c06  T04   9.200699   -72.4534 0.67 
  SMC_c06  T05  10.808692 -74.118596 0.67 
  SMC_c06  T06  10.835955 -73.568658 0.67 
  SMC_c06  T07  10.861648 -73.018717 0.67 
  SMC_c06  T08  10.885906 -72.468772 0.67 
  SMC_c06  T09  12.649642 -74.118596 0.67 
  SMC_c06  T10  12.622379 -73.568658 0.67 
  SMC_c06  T11  12.596686 -73.018717 0.67 
  SMC_c06  T12  12.572428 -72.468772 0.67 
  SMC_c06  T13  14.488876 -74.101818 0.67 
  SMC_c06  T14  14.407236 -73.552376 0.67 
  SMC_c06  T15  14.330291 -73.002903 0.67 
  SMC_c06  T16  14.257635   -72.4534 0.67 
  SMC_all  T01  10.564525 -73.450623 1.50
  SMC_all  T02  12.231955 -72.420490 1.50
  SMC_all  T03  13.478183 -71.607275 1.50
  SMC_all  T04  14.623137 -73.514927 1.50
  SMC_all  T05  15.794851 -72.447043 1.50
  SMC_all  T06  16.806635 -71.658122 1.50
  SMC_all  T07  18.400453 -73.443264 1.50
  SMC_all  T08  21.147911 -72.996415 1.50 
